Country,Year,Spot_Price_72,Crude_oil_exports_52,Demand,Exports,Gas_Reserve,Imports,Production,Oil_demand_46,Oil_exports_dest_51,Refinery_capacity_41,Refinery_throughput_43,World_Production,ActiveRigs-table3.2,AccountBalance-table2.7,WellsCompleted-table3.3,Population-table2.1,petroleumExport-table2.5,GDP-table2.2,GDPGrowthRate-table2.3,ExportValue-table2.4,crudeOilReserve-table3.1,CrudeOilProdution-table3.5,bioFuelProdution-table3.7
Venezuela,2014,86.88,"1,964.90","23,720",,"5,617",950,"21,878",752,"1,964.90","2,276","1,352","21,878","212,347","212,347","212,347","212,347","212,347","212,347","212,347","212,347","212,347","212,347","212,347"
OPEC,2014,96.29,"22,579.90","457,977","100,090","71,170","34,197","568,426","8,807","22,579.90",,"7,854","568,426","3,221,916","3,221,916","3,221,916","3,221,916","3,221,916","3,221,916","3,221,916","3,221,916","3,221,916","3,221,916","3,221,916"
Algeria,2015,52.79,642.2,"39,019","43,419","4,504",,"83,041",419,642.2,651,629,"83,041","166,355","166,355","166,355","166,355","166,355","166,355","166,355","166,355","166,355","166,355","166,355"
Angola,2015,52.96,"1,710.90",770,0,316,,772,170,"1,710.90",80,52,772,"103,099","103,099","103,099","103,099","103,099","103,099","103,099","103,099","103,099","103,099","103,099"
Congo,2015,49.25,227,908,0,285,,928,8,227,21,15,928,"11,891","11,891","11,891","11,891","11,891","11,891","11,891","11,891","11,891","11,891","11,891"
Equatorial Guinea,2015,50.96,182.4,"1,287","5,572",54,,"7,442",8,182.4,,,"7,442","13,185","13,185","13,185","13,185","13,185","13,185","13,185","13,185","13,185","13,185","13,185"
Gabon,2015,52.83,206.4,550,,25,,550,46,206.4,25,19,550,"14,385","14,385","14,385","14,385","14,385","14,385","14,385","14,385","14,385","14,385","14,385"
IR Iran,2015,48.8,"1,081.10","184,900","8,541","33,500","9,015","226,673","1,795","1,081.10","1,781",,"226,673","417,210","417,210","417,210","417,210","417,210","417,210","417,210","417,210","417,210","417,210","417,210"
Iraq,2015,47.87,"3,004.90","6,868",,"3,158",0,"7,685",686,"3,004.90",900,415,"7,685","166,822","166,822","166,822","166,822","166,822","166,822","166,822","166,822","166,822","166,822","166,822"
Kuwait,2015,48.13,"1,963.80","20,761",,"1,784","3,852","16,909",383,"1,963.80",936,866,"16,909","114,534","114,534","114,534","114,534","114,534","114,534","114,534","114,534","114,534","114,534","114,534"
Libya,2015,51.38,288.4,"5,934","4,664","1,505",,"15,150",211,288.4,634,86,"15,150","48,718","48,718","48,718","48,718","48,718","48,718","48,718","48,718","48,718","48,718","48,718"
Nigeria,2015,52.95,"2,114.20","18,445","26,704","5,284",,"45,148",408,"2,114.20",446,24,"45,148","487,093","487,093","487,093","487,093","487,093","487,093","487,093","487,093","487,093","487,093","487,093"
Saudi Arabia,2015,49.85,"7,163.30","104,450",,"8,588",,"104,450","3,319","7,163.30","2,934","2,181","104,450","669,484","669,484","669,484","669,484","669,484","669,484","669,484","669,484","669,484","669,484","669,484"
United Arab Emirates,2015,53.87,"2,441.50","72,700","9,328","6,091","27,100","60,181",778,"2,441.50","1,122",918,"60,181","358,135","358,135","358,135","358,135","358,135","358,135","358,135","358,135","358,135","358,135","358,135"
Venezuela,2015,41.11,"1,974.20","24,076",,"5,702",400,"26,004",658,"1,974.20","2,276","1,245","26,004","125,449","125,449","125,449","125,449","125,449","125,449","125,449","125,449","125,449","125,449","125,449"
OPEC,2015,49.49,"23,000.20","480,668","98,227","70,796","40,367","594,934","8,886","23,000.20",,"8,099","594,934","2,696,360","2,696,360","2,696,360","2,696,360","2,696,360","2,696,360","2,696,360","2,696,360","2,696,360","2,696,360","2,696,360"
Algeria,2016,44.28,668.7,"39,546","53,974","4,504",,"93,152",399,668.7,651,624,"93,152","157,828","157,828","157,828","157,828","157,828","157,828","157,828","157,828","157,828","157,828","157,828"
Angola,2016,43.61,"1,670.10",770,"1,149",440,,"1,919",178,"1,670.10",80,44,"1,919","101,124","101,124","101,124","101,124","101,124","101,124","101,124","101,124","101,124","101,124","101,124"
Congo,2016,41.98,254.3,846,0,285,,866,8,254.3,21,14,866,"10,217","10,217","10,217","10,217","10,217","10,217","10,217","10,217","10,217","10,217","10,217"
Equatorial Guinea,2016,42.43,157.6,"1,592","5,587",47,,"7,876",6,157.6,,,"7,876","11,241","11,241","11,241","11,241","11,241","11,241","11,241","11,241","11,241","11,241","11,241"
Gabon,2016,42.62,205.2,551,,26,,551,46,205.2,25,19,551,"14,020","14,020","14,020","14,020","14,020","14,020","14,020","14,020","14,020","14,020","14,020"
IR Iran,2016,39.57,"1,921.70","188,598","8,567","33,721","9,246","226,905","1,801","1,921.70","1,901",,"226,905","466,083","466,083","466,083","466,083","466,083","466,083","466,083","466,083","466,083","466,083","466,083"
Iraq,2016,39.53,"3,803.50","9,101",,"3,820",0,"10,416",757,"3,803.50",900,448,"10,416","166,603","166,603","166,603","166,603","166,603","166,603","166,603","166,603","166,603","166,603","166,603"
Kuwait,2016,39.3,"2,128.20","21,602",,"1,784","4,311","17,291",380,"2,128.20",936,826,"17,291","109,407","109,407","109,407","109,407","109,407","109,407","109,407","109,407","109,407","109,407","109,407"
Libya,2016,42.69,350.1,"5,893","4,664","1,505",,"18,720",208,350.1,634,83,"18,720","49,913","49,913","49,913","49,913","49,913","49,913","49,913","49,913","49,913","49,913","49,913"
Nigeria,2016,44.02,"1,738.00","18,168","25,147","5,475",,"42,562",393,"1,738.00",446,52,"42,562","404,649","404,649","404,649","404,649","404,649","404,649","404,649","404,649","404,649","404,649","404,649"
Saudi Arabia,2016,40.96,"7,463.40","106,852",,"8,619",,"110,860","3,332","7,463.40","2,934","2,459","110,860","666,000","666,000","666,000","666,000","666,000","666,000","666,000","666,000","666,000","666,000","666,000"
United Arab Emirates,2016,44.83,"2,407.80","71,799","9,328","6,091","27,479","61,862",799,"2,407.80","1,122","1,100","61,862","357,045","357,045","357,045","357,045","357,045","357,045","357,045","357,045","357,045","357,045","357,045"
Venezuela,2016,34.02,"1,835.00","23,715",,"5,740",0,"27,718",566,"1,835.00","2,276","1,035","27,718","112,915","112,915","112,915","112,915","112,915","112,915","112,915","112,915","112,915","112,915","112,915"
OPEC,2016,40.76,"24,603.50","489,033","108,415","72,056","41,036","620,699","8,874","24,603.50",,"8,350","620,699","2,627,045","2,627,045","2,627,045","2,627,045","2,627,045","2,627,045","2,627,045","2,627,045","2,627,045","2,627,045","2,627,045"
Algeria,2017,54.12,632.5,"40,373","53,891","4,504",,"94,778",422,632.5,651,630,"94,778","167,402","167,402","167,402","167,402","167,402","167,402","167,402","167,402","167,402","167,402","167,402"
Angola,2017,54.47,"1,576.70",780,"5,245",422,,"3,111",158,"1,576.70",80,54,"3,111","122,124","122,124","122,124","122,124","122,124","122,124","122,124","122,124","122,124","122,124","122,124"
Congo,2017,52.77,261.2,680,190,285,,860,8,261.2,21,17,860,"11,091","11,091","11,091","11,091","11,091","11,091","11,091","11,091","11,091","11,091","11,091"
Equatorial Guinea,2017,54.04,124.8,"1,577","6,183",42,,"8,237",5,124.8,,,"8,237","12,201","12,201","12,201","12,201","12,201","12,201","12,201","12,201","12,201","12,201","12,201"
Gabon,2017,53.16,188.4,407,,26,,487,47,188.4,25,16,487,"14,924","14,924","14,924","14,924","14,924","14,924","14,924","14,924","14,924","14,924","14,924"
IR Iran,2017,51.71,"2,125.00","217,760","12,927","33,810","4,731","238,003","1,819","2,125.00","1,901",,"238,003","486,829","486,829","486,829","486,829","486,829","486,829","486,829","486,829","486,829","486,829","486,829"
Iraq,2017,51.87,"3,802.00","9,457",,"3,744","1,456","10,650",723,"3,802.00",594,536,"10,650","187,534","187,534","187,534","187,534","187,534","187,534","187,534","187,534","187,534","187,534","187,534"
Kuwait,2017,51.6,"2,010.00","21,067",,"1,784","4,781","17,102",401,"2,010.00",786,679,"17,102","120,688","120,688","120,688","120,688","120,688","120,688","120,688","120,688","120,688","120,688","120,688"
Libya,2017,52.82,792.1,"5,250","4,470","1,505",,"20,690",208,792.1,634,99,"20,690","67,155","67,155","67,155","67,155","67,155","67,155","67,155","67,155","67,155","67,155","67,155"
Nigeria,2017,54.55,"1,811.10","12,795","32,511","5,627",,"45,434",426,"1,811.10",446,64,"45,434","375,745","375,745","375,745","375,745","375,745","375,745","375,745","375,745","375,745","375,745","375,745"
Saudi Arabia,2017,52.59,"6,968.30","115,000",,"8,715",,"115,000","3,272","6,968.30","2,921","2,601","115,000","714,995","714,995","714,995","714,995","714,995","714,995","714,995","714,995","714,995","714,995","714,995"
United Arab Emirates,2017,54.82,"2,378.70","71,596","8,775","6,091","26,030","54,086",819,"2,378.70","1,122","1,091","54,086","386,359","386,359","386,359","386,359","386,359","386,359","386,359","386,359","386,359","386,359","386,359"
Venezuela,2017,47.63,"1,596.40","26,204",,"5,707",0,"29,793",503,"1,596.40","2,276",956,"29,793","115,883","115,883","115,883","115,883","115,883","115,883","115,883","115,883","115,883","115,883","115,883"
OPEC,2017,52.43,"24,267.20","522,947","124,192","72,261","36,998","638,232","8,810","24,267.20",,"8,432","638,232","2,782,931","2,782,931","2,782,931","2,782,931","2,782,931","2,782,931","2,782,931","2,782,931","2,782,931","2,782,931","2,782,931"
Algeria,2018,71.44,571,"44,429","51,424","4,504",,"95,898",431,571,657,644,"95,898","174,902","174,902","174,902","174,902","174,902","174,902","174,902","174,902","174,902","174,902","174,902"
Angola,2018,71.72,"1,420.60",785,"5,486",383,,"9,614",171,"1,421",80,55,"9,614","101,353","101,353","101,353","101,353","101,353","101,353","101,353","101,353","101,353","101,353","101,353"
Congo,2018,68.59,307.1,867,0,285,,867,8,307,21,17,867,"13,676","13,676","13,676","13,676","13,676","13,676","13,676","13,676","13,676","13,676","13,676"
Equatorial Guinea,2018,71.36,121,"1,523","5,509",42,,"7,751",5,121,,,"7,751","13,097","13,097","13,097","13,097","13,097","13,097","13,097","13,097","13,097","13,097","13,097"
Gabon,2018,70.3,174.1,530,,26,,530,47,174,25,16,530,"16,875","16,875","16,875","16,875","16,875","16,875","16,875","16,875","16,875","16,875","16,875"
IR Iran,2018,67.97,"1,849.60","227,820","12,240","33,330","5,910","233,060","1,854","1,850","2,141",,"233,060","246,318","246,318","246,318","246,318","246,318","246,318","246,318","246,318","246,318","246,318","246,318"
Iraq,2018,68.62,"3,862.00","13,025",,"3,729","4,100","11,130",704,"3,862",726,609,"11,130","227,512","227,512","227,512","227,512","227,512","227,512","227,512","227,512","227,512","227,512","227,512"
Kuwait,2018,68.9,"2,050.00","21,860",,"1,784","4,418","17,738",417,"2,050",736,681,"17,738","138,209","138,209","138,209","138,209","138,209","138,209","138,209","138,209","138,209","138,209","138,209"
Libya,2018,69.78,998.5,"5,040","4,251","1,505",,"23,220",215,999,634,98,"23,220","76,681","76,681","76,681","76,681","76,681","76,681","76,681","76,681","76,681","76,681","76,681"
Nigeria,2018,72.11,"1,979.50","10,756","28,626","5,675",,"44,251",446,"1,979",446,38,"44,251","421,742","421,742","421,742","421,742","421,742","421,742","421,742","421,742","421,742","421,742","421,742"
Saudi Arabia,2018,70.59,"7,371.50","118,000",,"8,260",,"118,000","3,105","7,372","2,856","2,642","118,000","846,584","846,584","846,584","846,584","846,584","846,584","846,584","846,584","846,584","846,584","846,584"
United Arab Emirates,2018,72.2,"2,296.50","70,030","8,938","6,091","26,050","47,624",885,"2,296","1,122","1,065","47,624","423,014","423,014","423,014","423,014","423,014","423,014","423,014","423,014","423,014","423,014","423,014"
Venezuela,2018,64.47,"1,273.10","20,117",,"5,674",0,"24,785",403,"1,273","2,276",842,"24,785","102,021","102,021","102,021","102,021","102,021","102,021","102,021","102,021","102,021","102,021","102,021"
OPEC,2018,69.78,"24,274.50","534,782","116,473","71,288","40,478","634,468","8,692","24,274",,"8,412","634,468","2,801,984","2,801,984","2,801,984","2,801,984","2,801,984","2,801,984","2,801,984","2,801,984","2,801,984","2,801,984","2,801,984"
Algeria,2019,64.49,584.2,"46,809","42,776","4,504",,"90,302",430,584,657,645,"90,302","171,550","171,550","171,550","171,550","171,550","171,550","171,550","171,550","171,550","171,550","171,550"
Angola,2019,66.11,"1,318.70",789,"5,904",343,,"10,546",175,"1,319",80,54,"10,546","83,137","83,137","83,137","83,137","83,137","83,137","83,137","83,137","83,137","83,137","83,137"
Congo,2019,61.8,309.4,580,0,284,,580,9,309,21,17,580,"12,910","12,910","12,910","12,910","12,910","12,910","12,910","12,910","12,910","12,910","12,910"
Equatorial Guinea,2019,65.74,110.2,"1,477","4,679",39,,"6,235",5,110,,,"6,235","11,364","11,364","11,364","11,364","11,364","11,364","11,364","11,364","11,364","11,364","11,364"
Gabon,2019,63.18,206.9,635,,26,,464,48,207,25,14,464,"16,875","16,875","16,875","16,875","16,875","16,875","16,875","16,875","16,875","16,875","16,875"
IR Iran,2019,61.85,651.1,"231,220","12,350","33,899","1,270","241,730","1,838",651,"2,201",,"241,730","241,658","241,658","241,658","241,658","241,658","241,658","241,658","241,658","241,658","241,658","241,658"
Iraq,2019,63.64,"3,968.20","17,598",,"3,714","6,104","11,544",716,"3,968",743,639,"11,544","233,636","233,636","233,636","233,636","233,636","233,636","233,636","233,636","233,636","233,636","233,636"
Kuwait,2019,64.25,"1,986.30","18,460",,"1,784","4,509","13,952",460,"1,986",736,660,"13,952","136,189","136,189","136,189","136,189","136,189","136,189","136,189","136,189","136,189","136,189","136,189"
Libya,2019,63.81,"1,035.70","6,939","5,700","1,505",,"26,830",214,"1,036",634,83,"26,830","69,241","69,241","69,241","69,241","69,241","69,241","69,241","69,241","69,241","69,241","69,241"
Nigeria,2019,65.63,"2,008.20","12,705","35,953","5,761",,"47,828",470,"2,008",446,9,"47,828","406,176","406,176","406,176","406,176","406,176","406,176","406,176","406,176","406,176","406,176","406,176"
Saudi Arabia,2019,64.96,"7,038.10","122,720",,"8,366",,"117,000","3,139","7,038","2,896","2,484","117,000","838,565","838,565","838,565","838,565","838,565","838,565","838,565","838,565","838,565","838,565","838,565"
United Arab Emirates,2019,64.72,"2,414.20","68,226","9,258","7,726","22,504","55,097",899,"2,414","1,122","1,037","55,097","417,216","417,216","417,216","417,216","417,216","417,216","417,216","417,216","417,216","417,216","417,216"
Venezuela,2019,54.04,846.6,"17,550",,"5,674",0,"20,559",367,847,"2,276",818,"20,559","73,003","73,003","73,003","73,003","73,003","73,003","73,003","73,003","73,003","73,003","73,003"
OPEC,2019,64.04,"22,477.80","545,710","116,620","73,626","34,387","642,667","8,769","22,478",,"8,178","642,667","2,711,519","2,711,519","2,711,519","2,711,519","2,711,519","2,711,519","2,711,519","2,711,519","2,711,519","2,711,519","2,711,519"
Algeria,2020,42.12,438.7,"45,226","39,459","4,504",,"85,119",383,439,677,639,"85,119","145,717","145,717","145,717","145,717","145,717","145,717","145,717","145,717","145,717","145,717","145,717"
Angola,2020,42.64,"1,219.70",821,"6,367",301,,"11,313",146,"1,220",80,47,"11,313","54,821","54,821","54,821","54,821","54,821","54,821","54,821","54,821","54,821","54,821","54,821"
Congo,2020,35.77,282.2,405,0,284,,405,7,282,21,16,405,"10,502","10,502","10,502","10,502","10,502","10,502","10,502","10,502","10,502","10,502","10,502"
Equatorial Guinea,2020,41.54,114.5,"1,876","4,026",39,,"6,023",5,115,,,"6,023","10,099","10,099","10,099","10,099","10,099","10,099","10,099","10,099","10,099","10,099","10,099"
Gabon,2020,40.22,196.1,665,,26,,502,42,196,25,17,502,"15,339","15,339","15,339","15,339","15,339","15,339","15,339","15,339","15,339","15,339","15,339"
IR Iran,2020,40.77,404.5,"233,000","11,520","33,988",20,"249,630","1,692",404,"2,201",,"249,630","195,528","195,528","195,528","195,528","195,528","195,528","195,528","195,528","195,528","195,528","195,528"
Iraq,2020,41.55,"3,428.40","18,798",,"3,714","7,200","7,374",550,"3,428",758,543,"7,374","182,455","182,455","182,455","182,455","182,455","182,455","182,455","182,455","182,455","182,455","182,455"
Kuwait,2020,41.49,"1,826.30","18,218",,"1,784","5,335","12,883",461,"1,826",800,575,"12,883","105,941","105,941","105,941","105,941","105,941","105,941","105,941","105,941","105,941","105,941","105,941"
Libya,2020,40.06,347.2,"8,554","4,292","1,505",,"20,930",183,347,634,86,"20,930","46,895","46,895","46,895","46,895","46,895","46,895","46,895","46,895","46,895","46,895","46,895"
Nigeria,2020,41.53,"1,879.30","14,361","35,586","5,750",,"49,947",466,"1,879",461,1,"49,947","430,197","430,197","430,197","430,197","430,197","430,197","430,197","430,197","430,197","430,197","430,197"
Saudi Arabia,2020,41.91,"6,658.60","119,000",,"8,437",,"119,000","2,927","6,659","2,927","2,173","119,000","734,271","734,271","734,271","734,271","734,271","734,271","734,271","734,271","734,271","734,271","734,271"
United Arab Emirates,2020,42.98,"2,418.40","70,763","8,766","7,730","22,653","55,064",828,"2,418","1,272",936,"55,064","357,219","357,219","357,219","357,219","357,219","357,219","357,219","357,219","357,219","357,219","357,219"
Venezuela,2020,28.12,486.8,"13,725",,"5,590",0,"18,026",188,487,"2,276",345,"18,026","43,788","43,788","43,788","43,788","43,788","43,788","43,788","43,788","43,788","43,788","43,788"
OPEC,2020,41.47,"19,700.60","545,413","110,016","73,651","35,208","636,218","7,878","19,701",,"6,966","636,218","2,332,772","2,332,772","2,332,772","2,332,772","2,332,772","2,332,772","2,332,772","2,332,772","2,332,772","2,332,772","2,332,772"
Algeria,2021,70.89,446,"49,568","54,759","4,504",,"105,043",418,446,677,643,"105,043","163,429","163,429","163,429","163,429","163,429","163,429","163,429","163,429","163,429","163,429","163,429"
Angola,2021,71.31,"1,079.50",826,"5,084",301,,"8,820",144,"1,080",80,40,"8,820","71,258","71,258","71,258","71,258","71,258","71,258","71,258","71,258","71,258","71,258","71,258"
Congo,2021,63.35,250.7,415,0,284,,415,7,251,21,17,415,"12,131","12,131","12,131","12,131","12,131","12,131","12,131","12,131","12,131","12,131","12,131"
Equatorial Guinea,2021,71.09,92.8,"2,193","4,694",39,,"7,047",5,93,,,"7,047","12,269","12,269","12,269","12,269","12,269","12,269","12,269","12,269","12,269","12,269","12,269"
Gabon,2021,70.34,181.2,554,,26,,454,45,181,25,19,454,"20,242","20,242","20,242","20,242","20,242","20,242","20,242","20,242","20,242","20,242","20,242"
IR Iran,2021,69.8,762.8,"243,019","18,425","33,988",0,"257,119","1,777",763,"2,202",,"257,119","289,294","289,294","289,294","289,294","289,294","289,294","289,294","289,294","289,294","289,294","289,294"
Iraq,2021,69.86,"3,439.60","19,324",,"3,714","9,738","9,586",621,"3,440",976,623,"9,586","254,782","254,782","254,782","254,782","254,782","254,782","254,782","254,782","254,782","254,782","254,782"
Kuwait,2021,70.5,"1,740.50","19,752",,"1,784","7,024","12,728",462,"1,740",800,686,"12,728","136,643","136,643","136,643","136,643","136,643","136,643","136,643","136,643","136,643","136,643","136,643"
Libya,2021,69.16,"1,090.60","10,475","3,066","1,505",,"24,244",186,"1,091",634,134,"24,244","39,007","39,007","39,007","39,007","39,007","39,007","39,007","39,007","39,007","39,007","39,007"
Nigeria,2021,70.63,"1,592.30","10,108","38,464","5,848",,"48,572",495,"1,592",486,5,"48,572","436,450","436,450","436,450","436,450","436,450","436,450","436,450","436,450","436,450","436,450","436,450"
Saudi Arabia,2021,70.65,"6,227.40","120,000",,"8,507",,"120,485","2,966","6,227","3,327","2,475","120,485","868,586","868,586","868,586","868,586","868,586","868,586","868,586","868,586","868,586","868,586","868,586"
United Arab Emirates,2021,70.09,"2,304.90","68,190","7,849","8,200","21,554","54,485",916,"2,305","1,272","1,063","54,485","405,468","405,468","405,468","405,468","405,468","405,468","405,468","405,468","405,468","405,468","405,468"
Venezuela,2021,51.45,447.8,"13,650",,"5,541",0,"23,720",232,448,"2,276",521,"23,720","57,148","57,148","57,148","57,148","57,148","57,148","57,148","57,148","57,148","57,148","57,148"
OPEC,2021,69.89,"19,656.10","558,074","132,341","74,242","38,316","672,718","8,274","19,656",,"7,916","672,718","2,766,706","2,766,706","2,766,706","2,766,706","2,766,706","2,766,706","2,766,706","2,766,706","2,766,706","2,766,706","2,766,706"
Algeria,2022,104.24,476.9,"51,400","48,920","4,504",,"100,513",431,477,677,669,"100,513","186,995","186,995","186,995","186,995","186,995","186,995","186,995","186,995","186,995","186,995","186,995"
Angola,2022,103.66,"1,084.90",588,"7,540",129,,"5,505",152,"1,085",80,44,"5,505","115,164","115,164","115,164","115,164","115,164","115,164","115,164","115,164","115,164","115,164","115,164"
Congo,2022,93.65,242.8,425,0,284,,423,8,243,21,18,423,"12,530","12,530","12,530","12,530","12,530","12,530","12,530","12,530","12,530","12,530","12,530"
Equatorial Guinea,2022,102.88,80.7,"2,426","5,737",39,,"8,105",5,81,,,"8,105","16,451","16,451","16,451","16,451","16,451","16,451","16,451","16,451","16,451","16,451","16,451"
Gabon,2022,100.64,184.9,461,,26,,463,45,185,25,20,463,"21,931","21,931","21,931","21,931","21,931","21,931","21,931","21,931","21,931","21,931","21,931"
IR Iran,2022,99.92,900.6,"253,469","18,794","33,988",0,"262,261","1,793",901,"2,237",,"262,261","352,213","352,213","352,213","352,213","352,213","352,213","352,213","352,213","352,213","352,213","352,213"
Iraq,2022,97.33,"3,712.40","19,865",,"3,714","9,430","9,778",828,"3,712","1,116",702,"9,778","264,182","264,182","264,182","264,182","264,182","264,182","264,182","264,182","264,182","264,182","264,182"
Kuwait,2022,101.19,"1,878.90","21,364",,"1,784","7,481","13,883",469,"1,879","1,005",842,"13,883","181,978","181,978","181,978","181,978","181,978","181,978","181,978","181,978","181,978","181,978","181,978"
Libya,2022,101.28,919.8,"10,580","2,479","1,505",,"23,807",192,920,634,144,"23,807","44,066","44,066","44,066","44,066","44,066","44,066","44,066","44,066","44,066","44,066","44,066"
Nigeria,2022,103.63,"1,388.30","12,117","32,190","5,913",,"44,307",518,"1,388",486,5,"44,307","470,332","470,332","470,332","470,332","470,332","470,332","470,332","470,332","470,332","470,332","470,332"
Saudi Arabia,2022,101.64,"7,363.60","122,400",,"9,514",,"122,895","3,172","7,364","3,291","2,702","122,895","1,108,149","1,108,149","1,108,149","1,108,149","1,108,149","1,108,149","1,108,149","1,108,149","1,108,149","1,108,149","1,108,149"
United Arab Emirates,2022,98.89,"2,717.10","70,236","7,280","8,210","21,770","55,574",958,"2,717","1,227","1,046","55,574","507,535","507,535","507,535","507,535","507,535","507,535","507,535","507,535","507,535","507,535","507,535"
Venezuela,2022,76.96,438.2,"9,292",,"5,511",0,"24,421",272,438,"2,276",550,"24,421","93,111","93,111","93,111","93,111","93,111","93,111","93,111","93,111","93,111","93,111","93,111"
OPEC,2022,100.08,"21,389.20","574,623","122,939","75,121","38,680","671,936","8,842","21,389",,"8,493","671,936","3,374,636","3,374,636","3,374,636","3,374,636","3,374,636","3,374,636","3,374,636","3,374,636","3,374,636","3,374,636","3,374,636"
