Country,Year,Spot_Price_72,Crude_oil_exports_52,Demand,Exports,Gas_Reserve,Imports,Production,Oil_demand_46,Oil_exports_dest_51,Refinery_capacity_41,Refinery_throughput_43,World_Production,ActiveRigs-table3.2,AccountBalance-table2.7,WellsCompleted-table3.3,Population-table2.1,petroleumExport-table2.5,GDP-table2.2,GDPGrowthRate-table2.3,ExportValue-table2.4,crudeOilReserve-table3.1,CrudeOilProdution-table3.5,bioFuelProdution-table3.7
Iraq,1990,na,"1,596.00","1,980",,"3,107",0,"3,980",353,,545,378,"3,980","13,982","13,982","13,982","13,982","13,982","13,982","13,982","13,982","13,982","13,982","13,982"
Kuwait,1990,15.06,645,"7,250",,"1,518","2,000","4,190",102,,670,574,"4,190","18,293","18,293","18,293","18,293","18,293","18,293","18,293","18,293","18,293","18,293","18,293"
Libya,1990,23.24,"1,090.00","4,928","1,240","1,208",,"6,200",144,,565,252,"6,200","28,904","28,904","28,904","28,904","28,904","28,904","28,904","28,904","28,904","28,904","28,904"
Nigeria,1990,24.16,"1,550.00","3,710",0,"2,840",,"4,010",162,,401,287,"4,010","31,480","31,480","31,480","31,480","31,480","31,480","31,480","31,480","31,480","31,480","31,480"
Saudi Arabia,1990,20.82,"4,499.80","30,501",,"5,223",,"33,520",906,,"1,750","1,512","33,520","117,473","117,473","117,473","117,473","117,473","117,473","117,473","117,473","117,473","117,473","117,473"
United Arab Emirates,1990,21.7,"1,761.60","18,777","6,300","5,623","3,100","22,110",317,,193,171,"22,110","50,681","50,681","50,681","50,681","50,681","50,681","50,681","50,681","50,681","50,681","50,681"
Venezuela,1990,na,"1,242.00","21,549",,"3,429",0,"21,966",414,,"1,288",888,"21,966","48,391","48,391","48,391","48,391","48,391","48,391","48,391","48,391","48,391","48,391","48,391"
OPEC,1990,22.26,"15,731.70","132,961","40,370","43,401","5,100","172,416","3,660",,,"5,221","172,416","483,493","483,493","483,493","483,493","483,493","483,493","483,493","483,493","483,493","483,493","483,493"
Algeria,1991,21.04,344.7,"21,948","33,890","3,626",,"53,910",194,,475,422,"53,910","46,685","46,685","46,685","46,685","46,685","46,685","46,685","46,685","46,685","46,685","46,685"
Angola,1991,na,459.9,580,0,49,,580,34,,47,38,580,"10,891","10,891","10,891","10,891","10,891","10,891","10,891","10,891","10,891","10,891","10,891"
Congo,1991,na,144.9,0,0,77,,0,2,,21,9,0,"2,725","2,725","2,725","2,725","2,725","2,725","2,725","2,725","2,725","2,725","2,725"
Equatorial Guinea,1991,na,0,0,0,11,,0,1,,,,0,132,132,132,132,132,132,132,132,132,132,132
Gabon,1991,na,278.5,100,,11,,100,12,,25,19,100,"5,754","5,754","5,754","5,754","5,754","5,754","5,754","5,754","5,754","5,754","5,754"
IR Iran,1991,16.33,"2,420.00","22,968","3,010","19,800",0,"32,200","1,087",,912,,"32,200","105,345","105,345","105,345","105,345","105,345","105,345","105,345","105,345","105,345","105,345","105,345"
Iraq,1991,na,39,"1,740",,"3,100",0,"1,740",311,,545,294,"1,740","4,245","4,245","4,245","4,245","4,245","4,245","4,245","4,245","4,245","4,245","4,245"
Kuwait,1991,na,85,510,,"1,500",0,500,83,,670,56,500,"10,826","10,826","10,826","10,826","10,826","10,826","10,826","10,826","10,826","10,826","10,826"
Libya,1991,19.51,"1,220.00","4,960","1,580","1,309",,"6,540",148,,565,257,"6,540","31,992","31,992","31,992","31,992","31,992","31,992","31,992","31,992","31,992","31,992","31,992"
Nigeria,1991,20.55,"1,610.00","4,758",0,"3,400",,"4,400",195,,401,285,"4,400","28,337","28,337","28,337","28,337","28,337","28,337","28,337","28,337","28,337","28,337","28,337"
Saudi Arabia,1991,17.43,"6,526.30","32,002",,"5,221",,"35,170",958,,"1,750","1,487","35,170","132,047","132,047","132,047","132,047","132,047","132,047","132,047","132,047","132,047","132,047","132,047"
United Arab Emirates,1991,18.17,"2,024.40","22,373","6,450","5,793","3,000","25,810",384,,193,174,"25,810","51,531","51,531","51,531","51,531","51,531","51,531","51,531","51,531","51,531","51,531","51,531"
Venezuela,1991,na,"1,381.30","22,472",,"3,582",0,"21,902",420,,"1,288",988,"21,902","53,382","53,382","53,382","53,382","53,382","53,382","53,382","53,382","53,382","53,382","53,382"
OPEC,1991,18.62,"16,534.00","134,412","44,930","47,478","3,000","182,852","3,832",,,"4,882","182,852","483,892","483,892","483,892","483,892","483,892","483,892","483,892","483,892","483,892","483,892","483,892"
Algeria,1992,20.03,279.4,"20,673","35,130","3,650",,"52,465",195,,475,423,"52,465","49,136","49,136","49,136","49,136","49,136","49,136","49,136","49,136","49,136","49,136","49,136"
Angola,1992,na,508.4,570,0,51,,570,31,,47,40,570,"8,398","8,398","8,398","8,398","8,398","8,398","8,398","8,398","8,398","8,398","8,398"
Congo,1992,na,159,0,0,77,,0,2,,21,9,0,"2,933","2,933","2,933","2,933","2,933","2,933","2,933","2,933","2,933","2,933","2,933"
Equatorial Guinea,1992,na,0,0,0,17,,0,1,,,,0,160,160,160,160,160,160,160,160,160,160,160
Gabon,1992,na,271.3,100,,16,,100,12,,25,19,100,"5,955","5,955","5,955","5,955","5,955","5,955","5,955","5,955","5,955","5,955","5,955"
IR Iran,1992,16.72,"2,528.00","25,004",0,"20,700",0,"35,100","1,086",,912,,"35,100","124,187","124,187","124,187","124,187","124,187","124,187","124,187","124,187","124,187","124,187","124,187"
Iraq,1992,na,60.7,"2,270",,"3,100",0,"2,270",365,,545,364,"2,270","5,481","5,481","5,481","5,481","5,481","5,481","5,481","5,481","5,481","5,481","5,481"
Kuwait,1992,16.85,695.6,"2,620",,"1,485",0,"2,620",121,,670,324,"2,620","19,866","19,866","19,866","19,866","19,866","19,866","19,866","19,866","19,866","19,866","19,866"
Libya,1992,18.79,"1,180.00","4,932","1,840","1,299",,"6,770",146,,565,296,"6,770","33,887","33,887","33,887","33,887","33,887","33,887","33,887","33,887","33,887","33,887","33,887"
Nigeria,1992,19.95,"1,585.00","4,901",0,"3,716",,"4,421",247,,401,262,"4,421","25,522","25,522","25,522","25,522","25,522","25,522","25,522","25,522","25,522","25,522","25,522"
Saudi Arabia,1992,17.94,"6,581.90","34,005",,"5,249",,"38,250","1,021",,"1,550","1,492","38,250","136,905","136,905","136,905","136,905","136,905","136,905","136,905","136,905","136,905","136,905","136,905"
United Arab Emirates,1992,18.86,"2,060.00","25,544","7,020","5,795","3,600","22,170",386,,193,183,"22,170","54,217","54,217","54,217","54,217","54,217","54,217","54,217","54,217","54,217","54,217","54,217"
Venezuela,1992,na,"1,429.00","21,621",,"3,693",0,"21,617",447,,"1,288",926,"21,617","60,400","60,400","60,400","60,400","60,400","60,400","60,400","60,400","60,400","60,400","60,400"
OPEC,1992,18.44,"17,338.30","142,239","43,990","48,848","3,600","186,353","4,060",,,"5,159","186,353","527,048","527,048","527,048","527,048","527,048","527,048","527,048","527,048","527,048","527,048","527,048"
Algeria,1993,17.5,308,"18,553","35,310","3,700",,"53,140",195,,475,420,"53,140","50,951","50,951","50,951","50,951","50,951","50,951","50,951","50,951","50,951","50,951","50,951"
Angola,1993,na,464.7,560,0,48,,560,32,,47,37,560,"6,095","6,095","6,095","6,095","6,095","6,095","6,095","6,095","6,095","6,095","6,095"
Congo,1993,na,162.9,0,0,77,,0,2,,21,9,0,"1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919"
Equatorial Guinea,1993,na,0,0,0,17,,0,1,,,,0,162,162,162,162,162,162,162,162,162,162,162
Gabon,1993,na,297.4,100,,14,,100,13,,25,19,100,"5,757","5,757","5,757","5,757","5,757","5,757","5,757","5,757","5,757","5,757","5,757"
IR Iran,1993,14.08,"2,600.00","26,574",500,"20,700",0,"36,900","1,135",,"1,073",,"36,900","92,919","92,919","92,919","92,919","92,919","92,919","92,919","92,919","92,919","92,919","92,919"
Iraq,1993,na,59.2,"2,550",,"3,100",0,"2,550",394,,590,403,"2,550","4,347","4,347","4,347","4,347","4,347","4,347","4,347","4,347","4,347","4,347","4,347"
Kuwait,1993,14.07,"1,440.00","5,421",,"1,498",0,"5,420",122,,670,405,"5,420","23,996","23,996","23,996","23,996","23,996","23,996","23,996","23,996","23,996","23,996","23,996"
Libya,1993,16.43,"1,110.00","4,761","1,600","1,289",,"6,360",146,,565,259,"6,360","30,660","30,660","30,660","30,660","30,660","30,660","30,660","30,660","30,660","30,660","30,660"
